True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
112.0,4.0,208,7.429,5.50572272832788,5.410096907298094,11.468341071772686
112.0,4.0,208,7.429,5.2124194018011405,5.126814437836378,10.724286529705855
112.0,4.0,208,7.429,4.058927579908129,3.9780903900283584,8.387592695594416
112.0,4.0,208,7.429,5.229487888189269,5.112968415536107,10.767803142715065
112.0,4.0,208,7.429,4.345279889652502,4.257731017756678,9.200876317325319
112.0,4.0,208,7.429,4.716777844191145,4.6448858370875685,9.921335375561442
112.0,4.0,208,7.429,5.732982974851909,5.63312625179297,11.94975627165475
112.0,4.0,208,7.429,4.374512503735991,4.29921918731741,9.209571039277824
112.0,4.0,208,7.429,4.316586870416358,4.232260610781126,8.937217110730707
112.0,4.0,208,7.429,4.767367995444496,4.695411057847784,10.053804493819591
112.0,4.0,208,7.429,6.028178273087421,5.875975873697038,12.53652503845544
112.0,4.0,208,7.429,5.942798077758004,5.837687458277698,12.30939581971112
112.0,4.0,208,7.429,4.649853125185503,4.5922262422855225,9.80794074997556
112.0,4.0,208,7.429,5.64068732122567,5.536721292616395,11.797306821933592
112.0,4.0,208,7.429,3.85094912156503,3.7686559336172505,7.996003032723514
112.0,4.0,208,7.429,4.564458458184601,4.484907225998994,9.399838262991413
112.0,4.0,208,7.429,5.7600803794276185,5.636585168863498,11.955517642987235
112.0,4.0,208,7.429,4.5363335392826825,4.437914378562387,9.257106307491398
112.0,4.0,208,7.429,4.85293412830562,4.788664174769963,10.304403118850644
112.0,4.0,208,7.429,5.253806555660671,5.149399847502722,11.09651280574609
112.0,4.0,208,7.429,5.932108531394192,5.832209865635223,12.262629621982299
112.0,4.0,208,7.429,4.936539523537977,4.847768869634312,10.301305849383946
112.0,4.0,208,7.429,4.047292520687275,3.976113699873068,8.468785761541788
112.0,4.0,208,7.429,3.8947537986844036,3.80699920999724,8.30681670294625
112.0,4.0,208,7.429,4.457248930070845,4.386722054075139,9.212625307782318
112.0,4.0,208,7.429,5.033390955691866,4.960213366648264,10.388680381058736
112.0,4.0,208,7.429,3.3348422536167397,3.264279993331141,7.037867195736388
112.0,4.0,208,7.429,7.661449832747567,7.457615595274724,16.108531466747273
112.0,4.0,208,7.429,9.17068800514708,9.008846711666443,18.805250474855065
112.0,4.0,208,7.429,7.783729001547114,7.651940652467538,16.26341988907885
112.0,4.0,208,7.429,8.89630366756205,8.740941159318504,18.183911104206313
